school_name,classification,year,event,n_qualifiers,best_mark,avg_top3_mark
Timberline,4A,2015,Triple Jump,1,562.0,
Todd Beamer,4A,2015,Triple Jump,1,443.5,
Toledo,2B,2015,High Jump,1,76.0,
Toledo,2B,2015,Shot Put,1,418.5,
Toledo,2B,2015,Triple Jump,2,443.75,
Tonasket,2B,2015,Long Jump,3,244.25,225.16666666666666
Tonasket,2B,2015,Triple Jump,4,501.75,455.5
Toutle Lake,2B,2015,Discus,1,1479.0,
Toutle Lake,2B,2015,High Jump,1,58.0,
Toutle Lake,2B,2015,Shot Put,1,450.25,
Trout Lake,1B,2015,High Jump,1,56.0,
Trout Lake,1B,2015,Long Jump,1,182.5,
Trout Lake,1B,2015,Triple Jump,2,457.5,
Tumwater,2A,2015,Long Jump,3,231.0,212.75
Tumwater,2A,2015,Triple Jump,3,473.75,307.23333333333335
Union,4A,2015,Discus,1,1742.0,
Union,4A,2015,High Jump,1,58.0,
Union,4A,2015,Long Jump,1,0.5,
Union,4A,2015,Triple Jump,2,425.5,
University,4A,2015,High Jump,1,80.0,
Valley Christian,1B,2015,Discus,1,969.0,
Valley Christian,1B,2015,High Jump,1,61.0,
Valley Christian,1B,2015,Shot Put,1,454.0,
Vashon Island,1A,2015,Long Jump,1,191.0,
Vashon Island,1A,2015,Triple Jump,1,397.25,
W F West,2A,2015,High Jump,1,3.0,
W F West,2A,2015,Shot Put,1,408.25,
Waitsburg-Prescott,2B,2015,Discus,1,1744.0,
Waitsburg-Prescott,2B,2015,High Jump,1,62.0,
Waitsburg-Prescott,2B,2015,Long Jump,2,243.25,
Waitsburg-Prescott,2B,2015,Triple Jump,2,493.5,
Walla Walla,4A,2015,Discus,1,1570.0,
Walla Walla,4A,2015,Shot Put,1,468.25,
Wapato,2A,2015,Long Jump,1,251.25,
Wapato,2A,2015,Shot Put,1,628.75,
Wapato,2A,2015,Triple Jump,1,405.0,
Washougal,2A,2015,Discus,2,1898.0,
Washougal,2A,2015,Shot Put,3,578.75,518.5
Waterville,2B,2015,High Jump,1,60.0,
Wellpinit,1B,2015,Discus,1,1388.0,
Wellpinit,1B,2015,High Jump,1,66.0,
Wellpinit,1B,2015,Triple Jump,1,439.0,
Wenatchee,4A,2015,Discus,1,1748.0,
Wenatchee,4A,2015,High Jump,2,3.0,
Wenatchee,4A,2015,Long Jump,1,183.0,
Wenatchee,4A,2015,Shot Put,1,537.75,
Wenatchee,4A,2015,Triple Jump,1,404.0,
West Seattle,3A,2015,Long Jump,1,235.75,
West Seattle,3A,2015,Shot Put,1,381.75,
West Seattle,3A,2015,Triple Jump,1,405.5,
West Valley-Spokane,2A,2015,Discus,1,1849.0,
West Valley-Spokane,2A,2015,Shot Put,1,612.25,
White Swan,2B,2015,Shot Put,1,419.75,
Wilbur-Creston,2B,2015,Discus,1,1125.0,
Wilbur-Creston,2B,2015,High Jump,2,60.0,
Wilbur-Creston,2B,2015,Shot Put,1,522.5,
Willapa Valley,2B,2015,Discus,1,1376.0,
Willapa Valley,2B,2015,Triple Jump,1,388.75,
Wilson Creek,1B,2015,Discus,1,1152.0,
Wilson Creek,1B,2015,Shot Put,1,412.75,
Wishkah Valley,1B,2015,High Jump,1,62.0,
Wishkah Valley,1B,2015,Long Jump,1,156.0,
Wishkah Valley,1B,2015,Triple Jump,1,448.5,
Woodland,2A,2015,Discus,2,1293.0,
Woodland,2A,2015,Long Jump,2,263.75,
Woodland,2A,2015,Triple Jump,1,514.0,
Woodrow Wilson,3A,2015,Triple Jump,2,505.25,
Yakama Nat. Tri.,1B,2015,Discus,2,927.0,
Yakama Nat. Tri.,1B,2015,Shot Put,1,391.25,
Yelm,4A,2015,Discus,1,1888.0,
Yelm,4A,2015,Long Jump,1,264.0,
Zillah,1A,2015,Discus,1,1636.0,
Zillah,1A,2015,High Jump,1,72.0,
Zillah,1A,2015,Long Jump,1,254.25,
Zillah,1A,2015,Shot Put,3,516.0,413.0
Zillah,1A,2015,Triple Jump,2,501.0,
