ActiveIngredient_list,ingredient_token_order,fda_ingredient_token_raw,fda_token_norm,fda_token_root_norm,dea_scheduled_substance_names,dea_scheduled_candidate_names,dea_scheduled_current_schedules,dea_scheduled_drug_codes,dea_list_i_substance_names,dea_list_i_candidate_names,dea_list_i_drug_codes,dea_source_name_count,dea_scheduled_candidate_count,dea_list_i_candidate_count,dea_candidate_type_summary,dea_stage_label,dea_confident_match_flag,dea_list_i_only_flag,dea_match_method,dea_possible_candidate_substance_names,dea_possible_candidate_names,dea_possible_candidate_schedules,dea_possible_candidate_drug_codes,dea_possible_candidate_count,dea_possible_match_method
BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,1,BUPRENORPHINE HYDROCHLORIDE,BUPRENORPHINE HYDROCHLORIDE,BUPRENORPHINE,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,III,9064,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,2,NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,NALOXONE,,,,,,,,,,,,,,,,,,,,,
BUPROPION HYDROBROMIDE,1,BUPROPION HYDROBROMIDE,BUPROPION HYDROBROMIDE,BUPROPION,,,,,,,,,,,,,,,,,,,,,
BUPROPION HYDROCHLORIDE,1,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,BUPROPION,,,,,,,,,,,,,,,,,,,,,
BUPROPION HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE,1,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,BUPROPION,,,,,,,,,,,,,,,,,,,,,
BUPROPION HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE,2,DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN,,,,,,,,,,,,,,,,,,,,,
BUPROPION HYDROCHLORIDE; NALTREXONE HYDROCHLORIDE,1,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,BUPROPION,,,,,,,,,,,,,,,,,,,,,
BUPROPION HYDROCHLORIDE; NALTREXONE HYDROCHLORIDE,2,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,NALTREXONE,,,,,,,,,,,,,,,,,,,,,
BUROSUMAB-TWZA,1,BUROSUMAB-TWZA,BUROSUMAB TWZA,BUROSUMAB TWZA,,,,,,,,,,,,,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,1,BUSPIRONE HYDROCHLORIDE,BUSPIRONE HYDROCHLORIDE,BUSPIRONE,,,,,,,,,,,,,,,,,,,,,
BUSULFAN,1,BUSULFAN,BUSULFAN,BUSULFAN,,,,,,,,,,,,,,,,,,,,,
BUTABARBITAL SODIUM,1,BUTABARBITAL SODIUM,BUTABARBITAL SODIUM,BUTABARBITAL,,,,,,,,,,,,,,,,Barbital | Barbital Sodium,BARBITAL | BARBITAL SODIUM,IV,2145,2.0,substring_candidate_ambiguous
BUTENAFINE HYDROCHLORIDE,1,BUTENAFINE HYDROCHLORIDE,BUTENAFINE HYDROCHLORIDE,BUTENAFINE,,,,,,,,,,,,,,,,,,,,,
BUTOCONAZOLE NITRATE,1,BUTOCONAZOLE NITRATE,BUTOCONAZOLE NITRATE,BUTOCONAZOLE,,,,,,,,,,,,,,,,,,,,,
BUTORPHANOL TARTRATE,1,BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,BUTORPHANOL,Butorphanol Tartrate,BUTORPHANOL TARTRATE,IV,9720,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
Botulinum Toxin Type B,1,Botulinum Toxin Type B,BOTULINUM TOXIN TYPE B,BOTULINUM TOXIN TYPE B,,,,,,,,,,,,,,,,,,,,,
CABAZITAXEL,1,CABAZITAXEL,CABAZITAXEL,CABAZITAXEL,,,,,,,,,,,,,,,,,,,,,
CABERGOLINE,1,CABERGOLINE,CABERGOLINE,CABERGOLINE,,,,,,,,,,,,,,,,,,,,,
CABOTEGRAVIR,1,CABOTEGRAVIR,CABOTEGRAVIR,CABOTEGRAVIR,,,,,,,,,,,,,,,,,,,,,
CABOTEGRAVIR SODIUM,1,CABOTEGRAVIR SODIUM,CABOTEGRAVIR SODIUM,CABOTEGRAVIR,,,,,,,,,,,,,,,,,,,,,
CABOTEGRAVIR; RILPIVIRINE,1,CABOTEGRAVIR,CABOTEGRAVIR,CABOTEGRAVIR,,,,,,,,,,,,,,,,,,,,,
CABOTEGRAVIR; RILPIVIRINE,2,RILPIVIRINE,RILPIVIRINE,RILPIVIRINE,,,,,,,,,,,,,,,,,,,,,
CABOZANTINIB,1,CABOZANTINIB,CABOZANTINIB,CABOZANTINIB,,,,,,,,,,,,,,,,,,,,,
CABOZANTINIB S-MALATE,1,CABOZANTINIB S-MALATE,CABOZANTINIB S MALATE,CABOZANTINIB S MALATE,,,,,,,,,,,,,,,,,,,,,
CAFFEINE CITRATE,1,CAFFEINE CITRATE,CAFFEINE CITRATE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
CAFFEINE; ERGOTAMINE TARTRATE,1,CAFFEINE,CAFFEINE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
CAFFEINE; ERGOTAMINE TARTRATE,2,ERGOTAMINE TARTRATE,ERGOTAMINE TARTRATE,ERGOTAMINE,,,,,,,,,,,,,,,,,,,,,
CALASPARGASE PEGOL-MKNL,1,CALASPARGASE PEGOL-MKNL,CALASPARGASE PEGOL MKNL,CALASPARGASE PEGOL MKNL,,,,,,,,,,,,,,,,SPA Hydrochloride,SPA HYDROCHLORIDE,IV,1635,1.0,substring_candidate_unique
CALCIFEDIOL,1,CALCIFEDIOL,CALCIFEDIOL,CALCIFEDIOL,,,,,,,,,,,,,,,,,,,,,
CALCIPOTRIENE,1,CALCIPOTRIENE,CALCIPOTRIENE,CALCIPOTRIENE,,,,,,,,,,,,,,,,,,,,,
CALCITONIN HUMAN,1,CALCITONIN HUMAN,CALCITONIN HUMAN,CALCITONIN HUMAN,,,,,,,,,,,,,,,,,,,,,
CALCITONIN SALMON,1,CALCITONIN SALMON,CALCITONIN SALMON,CALCITONIN SALMON,,,,,,,,,,,,,,,,,,,,,
CALCITONIN SALMON RECOMBINANT,1,CALCITONIN SALMON RECOMBINANT,CALCITONIN SALMON RECOMBINANT,CALCITONIN SALMON RECOMBINANT,,,,,,,,,,,,,,,,,,,,,
CALCITRIOL,1,CALCITRIOL,CALCITRIOL,CALCITRIOL,,,,,,,,,,,,,,,,,,,,,
CALCIUM ACETATE,1,CALCIUM ACETATE,CALCIUM ACETATE,CALCIUM ACETATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,1,CALCIUM CARBONATE,CALCIUM CARBONATE,CALCIUM CARBONATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,2,FAMOTIDINE,FAMOTIDINE,FAMOTIDINE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,3,MAGNESIUM HYDROXIDE,MAGNESIUM HYDROXIDE,MAGNESIUM HYDROXIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CARBONATE; RISEDRONATE SODIUM,1,CALCIUM CARBONATE,CALCIUM CARBONATE,CALCIUM CARBONATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CARBONATE; RISEDRONATE SODIUM,2,RISEDRONATE SODIUM,RISEDRONATE SODIUM,RISEDRONATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,3,GLUTATHIONE DISULFIDE,GLUTATHIONE DISULFIDE,GLUTATHIONE DISULFIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,4,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,5,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,6,SODIUM BICARBONATE,SODIUM BICARBONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,7,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,8,SODIUM PHOSPHATE,SODIUM PHOSPHATE,SODIUM PHOSPHATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,3,LACTIC ACID,LACTIC ACID,LACTIC ACID,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,4,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,5,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,6,SODIUM BICARBONATE,SODIUM BICARBONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,7,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,3,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,4,OXIGLUTATIONE,OXIGLUTATIONE,OXIGLUTATIONE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,5,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,6,SODIUM BICARBONATE,SODIUM BICARBONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,7,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,8,SODIUM PHOSPHATE,SODIUM PHOSPHATE,SODIUM PHOSPHATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,3,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,4,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,5,SODIUM ACETATE,SODIUM ACETATE,SODIUM ACETATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,6,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,3,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,4,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,5,SODIUM ACETATE,SODIUM ACETATE,SODIUM ACETATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,6,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,7,SODIUM CITRATE,SODIUM CITRATE,SODIUM CITRATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE,3,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE,4,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE,5,SODIUM ACETATE,SODIUM ACETATE,SODIUM ACETATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE,6,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE,7,SODIUM LACTATE,SODIUM LACTATE,SODIUM LACTATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,3,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,4,SODIUM ACETATE,SODIUM ACETATE,SODIUM ACETATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,5,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,3,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,4,SODIUM ACETATE,SODIUM ACETATE,SODIUM ACETATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,5,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,6,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,7,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,8,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,9,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,10,SODIUM LACTATE,SODIUM LACTATE,SODIUM LACTATE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,2,DEXTROSE,DEXTROSE,DEXTROSE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,3,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,4,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,5,SODIUM LACTATE,SODIUM LACTATE,SODIUM LACTATE,,,,,,,,,,,,,,,,,,,,,
"CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",1,CALCIUM CHLORIDE,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,,,,,,,,,,,,,,,,,,,,
