ActiveIngredient_list,ingredient_token_order,fda_ingredient_token_raw,fda_token_norm,fda_token_root_norm,dea_scheduled_substance_names,dea_scheduled_candidate_names,dea_scheduled_current_schedules,dea_scheduled_drug_codes,dea_list_i_substance_names,dea_list_i_candidate_names,dea_list_i_drug_codes,dea_source_name_count,dea_scheduled_candidate_count,dea_list_i_candidate_count,dea_candidate_type_summary,dea_stage_label,dea_confident_match_flag,dea_list_i_only_flag,dea_match_method,dea_possible_candidate_substance_names,dea_possible_candidate_names,dea_possible_candidate_schedules,dea_possible_candidate_drug_codes,dea_possible_candidate_count,dea_possible_match_method
ACEBUTOLOL HYDROCHLORIDE,1,ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL,,,,,,,,,,,,,,,,,,,,,
ACECLIDINE HYDROCHLORIDE,1,ACECLIDINE HYDROCHLORIDE,ACECLIDINE HYDROCHLORIDE,ACECLIDINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; ASPIRIN; CAFFEINE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; ASPIRIN; CAFFEINE,2,ASPIRIN,ASPIRIN,ASPIRIN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; ASPIRIN; CAFFEINE,3,CAFFEINE,CAFFEINE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,2,ASPIRIN,ASPIRIN,ASPIRIN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,3,CODEINE PHOSPHATE,CODEINE PHOSPHATE,CODEINE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),CODEINE PHOSPHATE,II,9050,,,,2.0,2.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; BENZHYDROCODONE HYDROCHLORIDE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BENZHYDROCODONE HYDROCHLORIDE,2,BENZHYDROCODONE HYDROCHLORIDE,BENZHYDROCODONE HYDROCHLORIDE,BENZHYDROCODONE,,,,,,,,,,,,,,,,Hydrocodone | Hydrocodone Bitartrate (2 1/2 H2O) | Hydrocodone Hydrochloride (2 1/2H2O) | Hydrocodone Hydrochloride (2H2O) | Hydrocodone Hydrochloride (H2O),HYDROCODONE | HYDROCODONE BITARTRATE | HYDROCODONE HYDROCHLORIDE,II,9193,5.0,substring_candidate_ambiguous
ACETAMINOPHEN; BUTALBITAL,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL,2,BUTALBITAL,BUTALBITAL,BUTALBITAL,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,2,BUTALBITAL,BUTALBITAL,BUTALBITAL,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,3,CAFFEINE,CAFFEINE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,2,BUTALBITAL,BUTALBITAL,BUTALBITAL,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,3,CAFFEINE,CAFFEINE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,4,CODEINE PHOSPHATE,CODEINE PHOSPHATE,CODEINE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),CODEINE PHOSPHATE,II,9050,,,,2.0,2.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,2,BUTALBITAL,BUTALBITAL,BUTALBITAL,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,3,CAFFEINE,CAFFEINE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,4,CODEINE PHOSPHATE,CODEINE PHOSPHATE,CODEINE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),CODEINE PHOSPHATE,II,9050,,,,2.0,2.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,5,BUTALBITAL,BUTALBITAL,BUTALBITAL,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,6,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,7,CAFFEINE,CAFFEINE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,8,CODEINE PHOSPHATE,CODEINE PHOSPHATE,CODEINE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),CODEINE PHOSPHATE,II,9050,,,,2.0,2.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,2,CAFFEINE,CAFFEINE,CAFFEINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,3,DIHYDROCODEINE BITARTRATE,DIHYDROCODEINE BITARTRATE,DIHYDROCODEINE,Dihydrocodeine Bitartrate | Dihydrocodeine Bitartrate (H2O),DIHYDROCODEINE BITARTRATE,II,9120,,,,2.0,2.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE,2,CLEMASTINE FUMARATE,CLEMASTINE FUMARATE,CLEMASTINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE,3,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE,,,,,Pseudoephedrine Hydrochloride,PSEUDOEPHEDRINE HYDROCHLORIDE,8112,1.0,0.0,1.0,core_name,exact,False,True,exact,,,,,,
ACETAMINOPHEN; CODEINE PHOSPHATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; CODEINE PHOSPHATE,2,CODEINE PHOSPHATE,CODEINE PHOSPHATE,CODEINE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),CODEINE PHOSPHATE,II,9050,,,,2.0,2.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE,2,DEXBROMPHENIRAMINE MALEATE,DEXBROMPHENIRAMINE MALEATE,DEXBROMPHENIRAMINE,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE,3,PSEUDOEPHEDRINE SULFATE,PSEUDOEPHEDRINE SULFATE,PSEUDOEPHEDRINE,,,,,Pseudoephedrine Sulfate (Dibasic),PSEUDOEPHEDRINE SULFATE,8112,1.0,0.0,1.0,core_name,exact,False,True,exact,,,,,,
ACETAMINOPHEN; HYDROCODONE BITARTRATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; HYDROCODONE BITARTRATE,2,HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,HYDROCODONE,Hydrocodone Bitartrate (2 1/2 H2O),HYDROCODONE BITARTRATE,II,9193,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; IBUPROFEN,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; IBUPROFEN,2,IBUPROFEN,IBUPROFEN,IBUPROFEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; IBUPROFEN SODIUM,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; IBUPROFEN SODIUM,2,IBUPROFEN SODIUM,IBUPROFEN SODIUM,IBUPROFEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,2,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,OXYCODONE,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,II,9143,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,2,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,OXYCODONE,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,II,9143,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,3,OXYCODONE TEREPHTHALATE,OXYCODONE TEREPHTHALATE,OXYCODONE,Oxycodone Terephthalate (Dibasic),OXYCODONE TEREPHTHALATE,II,9143,,,,1.0,1.0,0.0,core_name,exact,True,False,exact,,,,,,
ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE,1,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,,,,,,,,,,,,,,,,,,,,,
