ActiveIngredient_list,dea_active_ingredient_token_count,dea_confident_controlled_match_flag,dea_list_i_only_match_flag,dea_possible_candidate_only_flag,dea_confident_matched_token_count,dea_list_i_token_count,dea_possible_candidate_token_count,dea_confident_match_methods,dea_confident_matched_fda_tokens,dea_confident_substance_names,dea_confident_current_schedules,dea_confident_drug_codes,dea_list_i_substance_names,dea_list_i_drug_codes,dea_possible_candidate_tokens,dea_possible_candidate_substance_names,dea_possible_candidate_methods,dea_unmatched_fda_tokens,dea_edge_case_notes,dea_schedule_scope_note,dea_linkage_status,dea_uncertain_flag
ACECLIDINE HYDROCHLORIDE,1,False,False,False,0,0,0,,,,,,,,,,,ACECLIDINE HYDROCHLORIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN,1,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN; ASPIRIN; CAFFEINE,3,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN | ASPIRIN | CAFFEINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,3,True,False,False,1,0,0,exact,CODEINE PHOSPHATE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),II,9050,,,,,,ACETAMINOPHEN | ASPIRIN,DEA drug-code materials list preparation-specific schedule differences for codeine. Ingredient-only linkage can identify codeine-related control but not the final schedule without formulation / concentration context.,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,True
ACETAMINOPHEN; BENZHYDROCODONE HYDROCHLORIDE,2,False,False,True,0,0,1,,,,,,,,BENZHYDROCODONE HYDROCHLORIDE,Hydrocodone | Hydrocodone Bitartrate (2 1/2 H2O) | Hydrocodone Hydrochloride (2 1/2H2O) | Hydrocodone Hydrochloride (2H2O) | Hydrocodone Hydrochloride (H2O),substring_candidate_ambiguous,ACETAMINOPHEN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,possible_parent_or_isomer_candidate_only,True
ACETAMINOPHEN; BUTALBITAL,2,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN | BUTALBITAL,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,3,False,False,False,0,0,0,,,,,,,,,,,ACETAMINOPHEN | BUTALBITAL | CAFFEINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,4,True,False,False,1,0,0,exact,CODEINE PHOSPHATE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),II,9050,,,,,,ACETAMINOPHEN | BUTALBITAL | CAFFEINE,DEA drug-code materials list preparation-specific schedule differences for codeine. Ingredient-only linkage can identify codeine-related control but not the final schedule without formulation / concentration context.,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,True
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE; BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE,8,True,False,False,2,0,0,exact,CODEINE PHOSPHATE,Codeine Phosphate (1 1/2 H2O) | Codeine Phosphate (1/2 H2O),II,9050,,,,,,ACETAMINOPHEN | BUTALBITAL | CAFFEINE,DEA drug-code materials list preparation-specific schedule differences for codeine. Ingredient-only linkage can identify codeine-related control but not the final schedule without formulation / concentration context.,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,True
ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,3,True,False,False,1,0,0,exact,DIHYDROCODEINE BITARTRATE,Dihydrocodeine Bitartrate | Dihydrocodeine Bitartrate (H2O),II,9120,,,,,,ACETAMINOPHEN | CAFFEINE,DEA drug-code materials list preparation-specific schedule differences for codeine. Ingredient-only linkage can identify codeine-related control but not the final schedule without formulation / concentration context. | DEA drug-code materials list preparation-specific schedule differences for dihydrocodeine. Ingredient-only linkage can identify control-related involvement but not the final schedule without formulation / concentration context.,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,confident_scheduled_controlled_substance_match,True
