dea_source_name_raw,dea_candidate_name_norm,dea_candidate_type,dea_root_norm,dea_current_schedule,dea_drug_code,dea_conversion_factor,dea_is_csa_scheduled,dea_is_list_i_chemical,dea_source_file,dea_source_url
1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (4-CN-CUMYL-BUTINACA),2 PHENYLPROPAN 2 YL,alias_fragment,2 PHENYLPROPAN 2 YL,I,7089,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (4-CN-CUMYL-BUTINACA),4 CN CUMYL BUTINACA,alias_fragment,4 CN CUMYL BUTINACA,I,7089,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-1H-indazol-3-yl](naphthalen-1-yl)methanone (THJ–2201),1 1H INDAZOL 3 YL METHANONE,core_name,1 1H INDAZOL 3 YL METHANONE,I,7024,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-1H-indazol-3-yl](naphthalen-1-yl)methanone (THJ–2201),5 FLUOROPENTYL,alias_fragment,5 FLUOROPENTYL,I,7024,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-1H-indazol-3-yl](naphthalen-1-yl)methanone (THJ–2201),NAPHTHALEN 1 YL,alias_fragment,NAPHTHALEN 1 YL,I,7024,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-1H-indazol-3-yl](naphthalen-1-yl)methanone (THJ–2201),THJ 2201,alias_fragment,THJ,I,7024,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(1-naphthoyl)indole (AM2201),1 3 INDOLE,core_name,1 3 INDOLE,I,7201,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(1-naphthoyl)indole (AM2201),5 FLUOROPENTYL,alias_fragment,5 FLUOROPENTYL,I,7201,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(1-naphthoyl)indole (AM2201),1 NAPHTHOYL,alias_fragment,1 NAPHTHOYL,I,7201,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(1-naphthoyl)indole (AM2201),AM2201,alias_fragment,AM2201,I,7201,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(2-iodobenzoyl)indole (AM694),1 3 INDOLE,core_name,1 3 INDOLE,I,7694,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(2-iodobenzoyl)indole (AM694),5 FLUOROPENTYL,alias_fragment,5 FLUOROPENTYL,I,7694,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(2-iodobenzoyl)indole (AM694),2 IODOBENZOYL,alias_fragment,2 IODOBENZOYL,I,7694,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-3-(2-iodobenzoyl)indole (AM694),AM694,alias_fragment,AM694,I,7694,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (5F-CUMYL-PINACA; SGT-25),1 N 1H INDAZOLE 3 CARBOXAMIDE,core_name,1 N 1H INDAZOLE 3 CARBOXAMIDE,I,7083,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (5F-CUMYL-PINACA; SGT-25),5 FLUOROPENTYL,alias_fragment,5 FLUOROPENTYL,I,7083,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (5F-CUMYL-PINACA; SGT-25),2 PHENYLPROPAN 2 YL,alias_fragment,2 PHENYLPROPAN 2 YL,I,7083,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (5F-CUMYL-PINACA; SGT-25),5F CUMYL PINACA,alias_fragment,5F CUMYL PINACA,I,7083,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
