appl_no,submission_no,appl_type,drug_name,active_ingredient,sponsor_name,approval_date,review_priority_group,orphan_designation,active_ingredient_norm,needs_manual_controlled_substance_flag,arcos_merge_notes
089999,1,ANDA,ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN; CODEINE PHOSPHATE,CHARTWELL,1994-12-28,MISSING,False,ACETAMINOPHEN CODEINE PHOSPHATE,True,
090002,1,ANDA,NAFCILLIN SODIUM,NAFCILLIN SODIUM,ISTITUTO BIO ITA SPA,2011-06-30,MISSING,False,NAFCILLIN SODIUM,True,
090005,1,ANDA,NAFCILLIN SODIUM,NAFCILLIN SODIUM,ISTITUTO BIO ITA SPA,2011-04-20,MISSING,False,NAFCILLIN SODIUM,True,
090007,1,ANDA,GABAPENTIN,GABAPENTIN,MARKSANS PHARMA,2011-07-21,MISSING,False,GABAPENTIN,True,
090008,1,ANDA,REPAGLINIDE,REPAGLINIDE,ACTAVIS TOTOWA,2014-01-22,MISSING,False,REPAGLINIDE,True,
090010,1,ANDA,ADENOSINE,ADENOSINE,AM REGENT,2009-04-28,MISSING,False,ADENOSINE,True,
090011,1,ANDA,AMLODIPINE BESYLATE AND VALSARTAN,AMLODIPINE BESYLATE; VALSARTAN,STRIDES PHARMA INTL,2013-03-28,MISSING,False,AMLODIPINE BESYLATE VALSARTAN,True,
090014,1,ANDA,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,TORRENT,2009-12-30,MISSING,False,METFORMIN HYDROCHLORIDE,True,
090016,1,ANDA,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,HISUN PHARM HANGZHOU,2009-01-28,MISSING,False,IRINOTECAN HYDROCHLORIDE,True,
090017,1,ANDA,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,SUN PHARM,2009-11-05,MISSING,False,KETOROLAC TROMETHAMINE,True,
090018,1,ANDA,ZOLEDRONIC ACID,ZOLEDRONIC ACID,SUN PHARMA GLOBAL,2013-03-04,MISSING,False,ZOLEDRONIC ACID,True,
090019,1,ANDA,"PEG-3350, POTASSIUM CHLORIDE, SODIUM BICARBONATE, SODIUM CHLORIDE",POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,NOVEL LABS INC,2009-05-27,MISSING,False,POLYETHYLENE GLYCOL 3350 POTASSIUM CHLORIDE SODIUM BICARBONATE SODIUM CHLORIDE,True,
090020,1,ANDA,GLYCOPYRROLATE,GLYCOPYRROLATE,OXFORD PHARMS,2011-10-19,MISSING,False,GLYCOPYRROLATE,True,
090022,1,ANDA,ALENDRONATE SODIUM,ALENDRONATE SODIUM,SUN PHARM,2008-09-10,MISSING,False,ALENDRONATE SODIUM,True,
090024,1,ANDA,MINOCYCLINE HYDROCHLORIDE,MINOCYCLINE HYDROCHLORIDE,IMPAX LABS INC,2009-02-03,MISSING,False,MINOCYCLINE HYDROCHLORIDE,True,
090025,1,ANDA,LEVETIRACETAM,LEVETIRACETAM,LUPIN,2009-01-15,MISSING,False,LEVETIRACETAM,True,
090027,1,ANDA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,PRINSTON INC,2010-08-04,MISSING,False,VENLAFAXINE HYDROCHLORIDE,True,
