active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
ALTEPLASE,ALTEPLASE,,,
ALTRETAMINE,ALTRETAMINE,,,
ALUMINUM ACETATE,ALUMINUM ACETATE,,,
ALUMINUM HYDROXIDE,ALUMINUM HYDROXIDE,,,
ALVIMOPAN,ALVIMOPAN,,,
AMANTADINE,AMANTADINE,,,
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,,,
AMBENONIUM CHLORIDE,AMBENONIUM CHLORIDE,,,
AMBRISENTAN,AMBRISENTAN,,,
AMCINONIDE,AMCINONIDE,,,
AMIFAMPRIDINE,AMIFAMPRIDINE,,,
AMIFAMPRIDINE PHOSPHATE,AMIFAMPRIDINE PHOSPHATE,,,
AMIFOSTINE,AMIFOSTINE,,,
AMIKACIN SULFATE,AMIKACIN SULFATE,,,
AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE,,,
AMINO ACIDS,AMINO ACIDS,,,
AMINOCAPROIC ACID,AMINOCAPROIC ACID,,,
AMINOGLUTETHIMIDE,AMINOGLUTETHIMIDE,,,
AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,,,
AMINOLEVULINIC ACID HYDROCHLORIDE,AMINOLEVULINIC ACID HYDROCHLORIDE,,,
AMINOPHYLLINE,AMINOPHYLLINE,,,
AMINOSALICYLATE SODIUM,AMINOSALICYLATE SODIUM,,,
AMINOSALICYLIC ACID,AMINOSALICYLIC ACID,,,
AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE,,,
AMISULPRIDE,AMISULPRIDE,,,
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,,,
AMIVANTAMAB AND HYALURONIDASE-LPUJ,AMIVANTAMAB AND HYALURONIDASE LPUJ,,,
AMIVANTAMAB-VMJW,AMIVANTAMAB VMJW,,,
AMLEXANOX,AMLEXANOX,,,
AMLODIPINE BENZOATE,AMLODIPINE BENZOATE,,,
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,,,
AMLODIPINE MALEATE,AMLODIPINE MALEATE,,,
AMMONIA N-13,AMMONIA N 13,,,
AMMONIUM CHLORIDE,AMMONIUM CHLORIDE,,,
AMMONIUM LACTATE,AMMONIUM LACTATE,,,
AMOXAPINE,AMOXAPINE,,,
AMOXICILLIN,AMOXICILLIN,,,
AMPHETAMINE,AMPHETAMINE,,,
AMPHETAMINE ADIPATE,AMPHETAMINE ADIPATE,,,
AMPHETAMINE ASPARTATE,AMPHETAMINE ASPARTATE,,,
AMPHETAMINE ASPARTATE MONOHYDRATE,AMPHETAMINE ASPARTATE MONOHYDRATE,,,
AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE,AMPHETAMINE ASPARTATE DEXTROAMPHETAMINE SULFATE,,,
AMPHETAMINE RESIN COMPLEX,AMPHETAMINE RESIN COMPLEX,,,
AMPHETAMINE SULFATE,AMPHETAMINE SULFATE,,,
AMPHOTERICIN B,AMPHOTERICIN B,,,
AMPICILLIN SODIUM,AMPICILLIN SODIUM,,,
AMPICILLIN/AMPICILLIN TRIHYDRATE,AMPICILLIN AMPICILLIN TRIHYDRATE,,,
AMPRENAVIR,AMPRENAVIR,,,
ANACAULASE-BCDB,ANACAULASE BCDB,,,
ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE,,,
ANAKINRA,ANAKINRA,,,
ANASTROZOLE,ANASTROZOLE,,,
ANGIOTENSIN II ACETATE,ANGIOTENSIN II ACETATE,,,
ANIDULAFUNGIN,ANIDULAFUNGIN,,,
ANIFROLUMAB-FNIA,ANIFROLUMAB FNIA,,,
ANILERIDINE HYDROCHLORIDE,ANILERIDINE HYDROCHLORIDE,,,
ANISINDIONE,ANISINDIONE,,,
ANISOTROPINE METHYLBROMIDE,ANISOTROPINE METHYLBROMIDE,,,
ANSUVIMAB-ZYKL,ANSUVIMAB ZYKL,,,
ANTAZOLINE PHOSPHATE,ANTAZOLINE PHOSPHATE,,,
APALUTAMIDE,APALUTAMIDE,,,
APIXABAN,APIXABAN,,,
APOMORPHINE HYDROCHLORIDE,APOMORPHINE HYDROCHLORIDE,,,
APRACLONIDINE HYDROCHLORIDE,APRACLONIDINE HYDROCHLORIDE,,,
APREMILAST,APREMILAST,,,
APREPITANT,APREPITANT,,,
APROCITENTAN,APROCITENTAN,,,
APROTININ,APROTININ,,,
ARBUTAMINE HYDROCHLORIDE,ARBUTAMINE HYDROCHLORIDE,,,
ARFORMOTEROL TARTRATE,ARFORMOTEROL TARTRATE,,,
ARGATROBAN,ARGATROBAN,,,
ARGININE HYDROCHLORIDE,ARGININE HYDROCHLORIDE,,,
ARIMOCLOMOL CITRATE,ARIMOCLOMOL CITRATE,,,
ARIPIPRAZOLE,ARIPIPRAZOLE,,,
ARIPIPRAZOLE LAUROXIL,ARIPIPRAZOLE LAUROXIL,,,
ARMODAFINIL,ARMODAFINIL,,,
ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,,,
ARTEMETHER,ARTEMETHER,,,
ARTESUNATE,ARTESUNATE,,,
ARTICAINE HYDROCHLORIDE,ARTICAINE HYDROCHLORIDE,,,
ASCIMINIB HYDROCHLORIDE,ASCIMINIB HYDROCHLORIDE,,,
ASCORBIC ACID,ASCORBIC ACID,,,
ASENAPINE,ASENAPINE,,,
ASENAPINE MALEATE,ASENAPINE MALEATE,,,
ASFOTASE ALFA,ASFOTASE ALFA,,,
ASPARAGINASE,ASPARAGINASE,,,
ASPARAGINASE ERWINIA CHRYSANTHEMI (RECOMBINANT)-RYWN,ASPARAGINASE ERWINIA CHRYSANTHEMI RECOMBINANT RYWN,,,
ASPIRIN,ASPIRIN,,,
ATAZANAVIR SULFATE,ATAZANAVIR SULFATE,,,
ATENOLOL,ATENOLOL,,,
ATEZOLIZUMAB,ATEZOLIZUMAB,,,
ATEZOLIZUMAB AND HYALURONIDASE-TQJS,ATEZOLIZUMAB AND HYALURONIDASE TQJS,,,
ATOGEPANT,ATOGEPANT,,,
ATOLTIVIMAB,ATOLTIVIMAB,,,
ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,,,
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,,,
ATOVAQUONE,ATOVAQUONE,,,
ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,,,
ATRASENTAN HYDROCHLORIDE,ATRASENTAN HYDROCHLORIDE,,,
ATROPINE,ATROPINE,,,
ATROPINE SULFATE,ATROPINE SULFATE,,,
AURANOFIN,AURANOFIN,,,
AVACINCAPTAD PEGOL SODIUM,AVACINCAPTAD PEGOL SODIUM,,,
AVACOPAN,AVACOPAN,,,
AVALGLUCOSIDASE ALFA-NGPT,AVALGLUCOSIDASE ALFA NGPT,,,
AVANAFIL,AVANAFIL,,,
AVAPRITINIB,AVAPRITINIB,,,
AVATROMBOPAG MALEATE,AVATROMBOPAG MALEATE,,,
AVELUMAB,AVELUMAB,,,
AVIBACTAM SODIUM,AVIBACTAM SODIUM,,,
AVOBENZONE,AVOBENZONE,,,
AVUTOMETINIB POTASSIUM,AVUTOMETINIB POTASSIUM,,,
AXITINIB,AXITINIB,,,
AZACITIDINE,AZACITIDINE,,,
AZATADINE MALEATE,AZATADINE MALEATE,,,
AZATHIOPRINE,AZATHIOPRINE,,,
AZATHIOPRINE SODIUM,AZATHIOPRINE SODIUM,,,
AZELAIC ACID,AZELAIC ACID,,,
AZELASTINE HYDROCHLORIDE,AZELASTINE HYDROCHLORIDE,,,
AZELASTINE HYDROCHRLORIDE,AZELASTINE HYDROCHRLORIDE,,,
AZILSARTAN KAMEDOXOMIL,AZILSARTAN KAMEDOXOMIL,,,
AZILSARTAN MEDOXOMIL,AZILSARTAN MEDOXOMIL,,,
AZITHROMYCIN,AZITHROMYCIN,,,
AZITHROMYCIN DIHYDRATE,AZITHROMYCIN DIHYDRATE,,,
AZTREONAM,AZTREONAM,,,
BACAMPICILLIN HYDROCHLORIDE,BACAMPICILLIN HYDROCHLORIDE,,,
BACITRACIN,BACITRACIN,,,
BACITRACIN ZINC,BACITRACIN ZINC,,,
BACLOFEN,BACLOFEN,,,
BALOXAVIR MARBOXIL,BALOXAVIR MARBOXIL,,,
BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,,,
BARICITINIB,BARICITINIB,,,
BARIUM SULFATE,BARIUM SULFATE,,,
BASILIXIMAB,BASILIXIMAB,,,
BAZEDOXIFENE ACETATE,BAZEDOXIFENE ACETATE,,,
BECAPLERMIN,BECAPLERMIN,,,
BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,,,
BECLOMETHASONE DIPROPIONATE MONOHYDRATE,BECLOMETHASONE DIPROPIONATE MONOHYDRATE,,,
BEDAQUILINE FUMARATE,BEDAQUILINE FUMARATE,,,
BELANTAMAB MAFODOTIN-BLMF,BELANTAMAB MAFODOTIN BLMF,,,
BELATACEPT,BELATACEPT,,,
BELIMUMAB,BELIMUMAB,,,
BELINOSTAT,BELINOSTAT,,,
BELUMOSUDIL MESYLATE,BELUMOSUDIL MESYLATE,,,
BELZUTIFAN,BELZUTIFAN,,,
BEMPEDOIC ACID,BEMPEDOIC ACID,,,
"BEMPEDOIC ACID, EZETIMIBE",BEMPEDOIC ACID EZETIMIBE,,,
BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,,,
BENDAMUSTINE HYDROCHLORIDE,BENDAMUSTINE HYDROCHLORIDE,,,
BENDROFLUMETHIAZIDE,BENDROFLUMETHIAZIDE,,,
BENOXINATE HYDROCHLORIDE,BENOXINATE HYDROCHLORIDE,,,
BENRALIZUMAB,BENRALIZUMAB,,,
BENTIROMIDE,BENTIROMIDE,,,
BENTOQUATAM,BENTOQUATAM,,,
BENZGALANTAMINE GLUCONATE,BENZGALANTAMINE GLUCONATE,,,
BENZHYDROCODONE HYDROCHLORIDE,BENZHYDROCODONE HYDROCHLORIDE,,,
BENZNIDAZOLE,BENZNIDAZOLE,,,
BENZONATATE,BENZONATATE,,,
BENZOYL PEROXIDE,BENZOYL PEROXIDE,,,
BENZPHETAMINE HYDROCHLORIDE,BENZPHETAMINE HYDROCHLORIDE,,,
BENZQUINAMIDE HYDROCHLORIDE,BENZQUINAMIDE HYDROCHLORIDE,,,
BENZTHIAZIDE,BENZTHIAZIDE,,,
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,,,
BENZYL ALCOHOL,BENZYL ALCOHOL,,,
BENZYL BENZOATE,BENZYL BENZOATE,,,
BENZYLPENICILLOYL POLYLYSINE,BENZYLPENICILLOYL POLYLYSINE,,,
BEPOTASTINE BESILATE,BEPOTASTINE BESILATE,,,
BEPRIDIL HYDROCHLORIDE,BEPRIDIL HYDROCHLORIDE,,,
BERACTANT,BERACTANT,,,
BERAHYALURONIDASE ALFA-PMPH,BERAHYALURONIDASE ALFA PMPH,,,
BERDAZIMER SODIUM,BERDAZIMER SODIUM,,,
BEROTRALSTAT DIHYDROCHLORIDE,BEROTRALSTAT DIHYDROCHLORIDE,,,
BESIFLOXACIN HYDROCHLORIDE,BESIFLOXACIN HYDROCHLORIDE,,,
BETAINE,BETAINE,,,
BETAMETHASONE,BETAMETHASONE,,,
BETAMETHASONE ACETATE,BETAMETHASONE ACETATE,,,
BETAMETHASONE BENZOATE,BETAMETHASONE BENZOATE,,,
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE,,,
BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE SODIUM PHOSPHATE,,,
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,,,
BETAXOLOL HYDROCHLORIDE,BETAXOLOL HYDROCHLORIDE,,,
BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE,,,
BETHANIDINE SULFATE,BETHANIDINE SULFATE,,,
BETRIXABAN,BETRIXABAN,,,
BEVACIZUMAB,BEVACIZUMAB,,,
BEVACIZUMAB-ADCD,BEVACIZUMAB ADCD,,,
BEVACIZUMAB-AWWB,BEVACIZUMAB AWWB,,,
BEVACIZUMAB-BVZR,BEVACIZUMAB BVZR,,,
BEVACIZUMAB-MALY,BEVACIZUMAB MALY,,,
BEVACIZUMAB-NWGD,BEVACIZUMAB NWGD,,,
BEVACIZUMAB-TNJN,BEVACIZUMAB TNJN,,,
BEXAGLIFLOZIN,BEXAGLIFLOZIN,,,
BEXAROTENE,BEXAROTENE,,,
BEZLOTOXUMAB,BEZLOTOXUMAB,,,
BICALUTAMIDE,BICALUTAMIDE,,,
BICTEGRAVIR SODIUM,BICTEGRAVIR SODIUM,,,
"BICTEGRAVIR, EMTRICITABINE AND TENOFOVIR ALAFENAMIDE",BICTEGRAVIR EMTRICITABINE AND TENOFOVIR ALAFENAMIDE,,,
BIMATOPROST,BIMATOPROST,,,
BIMEKIZUMAB-BKZX,BIMEKIZUMAB BKZX,,,
BINIMETINIB,BINIMETINIB,,,
BIOTIN,BIOTIN,,,
BIPERIDEN HYDROCHLORIDE,BIPERIDEN HYDROCHLORIDE,,,
BIPERIDEN LACTATE,BIPERIDEN LACTATE,,,
BIRCH TRITERPENES,BIRCH TRITERPENES,,,
BISACODYL,BISACODYL,,,
BISMUTH SUBCITRATE POTASSIUM,BISMUTH SUBCITRATE POTASSIUM,,,
BISMUTH SUBSALICYLATE,BISMUTH SUBSALICYLATE,,,
BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,,,
BITOLTEROL MESYLATE,BITOLTEROL MESYLATE,,,
BIVALIRUDIN,BIVALIRUDIN,,,
BLEOMYCIN SULFATE,BLEOMYCIN SULFATE,,,
BLINATUMOMAB,BLINATUMOMAB,,,
BOCEPREVIR,BOCEPREVIR,,,
BORTEZOMIB,BORTEZOMIB,,,
BOSENTAN,BOSENTAN,,,
BOSUTINIB MONOHYDRATE,BOSUTINIB MONOHYDRATE,,,
BREMELANOTIDE ACETATE,BREMELANOTIDE ACETATE,,,
BRENSOCATIB,BRENSOCATIB,,,
BRENTUXIMAB VEDOTIN,BRENTUXIMAB VEDOTIN,,,
BRETYLIUM TOSYLATE,BRETYLIUM TOSYLATE,,,
BREXANOLONE,BREXANOLONE,,,
BREXPIPRAZOLE,BREXPIPRAZOLE,,,
BRIGATINIB,BRIGATINIB,,,
BRILLIANT BLUE G,BRILLIANT BLUE G,,,
BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,,,
BRINCIDOFOVIR,BRINCIDOFOVIR,,,
BRINZOLAMIDE,BRINZOLAMIDE,,,
