active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
CEFTIBUTEN DIHYDRATE,CEFTIBUTEN DIHYDRATE,,,
CEFTIZOXIME SODIUM,CEFTIZOXIME SODIUM,,,
CEFTOBIPROLE MEDOCARIL SODIUM,CEFTOBIPROLE MEDOCARIL SODIUM,,,
CEFTOLOZANE SULFATE,CEFTOLOZANE SULFATE,,,
CEFTRIAXONE SODIUM,CEFTRIAXONE SODIUM,,,
CEFUROXIME,CEFUROXIME,,,
CEFUROXIME AXETIL,CEFUROXIME AXETIL,,,
CEFUROXIME SODIUM,CEFUROXIME SODIUM,,,
CELECOXIB,CELECOXIB,,,
CELLULOSE SODIUM PHOSPHATE,CELLULOSE SODIUM PHOSPHATE,,,
CEMIPLIMAB-RWLC,CEMIPLIMAB RWLC,,,
CENEGERMIN-BKBJ,CENEGERMIN BKBJ,,,
CENOBAMATE,CENOBAMATE,,,
CEPHALEXIN,CEPHALEXIN,,,
CEPHALEXIN HYDROCHLORIDE,CEPHALEXIN HYDROCHLORIDE,,,
CEPHALOGLYCIN,CEPHALOGLYCIN,,,
CEPHALOTHIN SODIUM,CEPHALOTHIN SODIUM,,,
CEPHAPIRIN SODIUM,CEPHAPIRIN SODIUM,,,
CEPHRADINE,CEPHRADINE,,,
CERITINIB,CERITINIB,,,
CERIVASTATIN SODIUM,CERIVASTATIN SODIUM,,,
CERLIPONASE ALFA,CERLIPONASE ALFA,,,
CERTOLIZUMAB PEGOL,CERTOLIZUMAB PEGOL,,,
CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,,,
CETRORELIX ACETATE,CETRORELIX ACETATE,,,
CETUXIMAB,CETUXIMAB,,,
CETYL ALCOHOL,CETYL ALCOHOL,,,
CEVIMELINE HYDROCHLORIDE,CEVIMELINE HYDROCHLORIDE,,,
CHENODIOL,CHENODIOL,,,
CHLORAMBUCIL,CHLORAMBUCIL,,,
CHLORAMPHENICOL,CHLORAMPHENICOL,,,
CHLORAMPHENICOL SODIUM SUCCINATE,CHLORAMPHENICOL SODIUM SUCCINATE,,,
CHLORDIAZEPOXIDE,CHLORDIAZEPOXIDE,,,
CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,,,
CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,,,
CHLORMERODRIN HG-197,CHLORMERODRIN HG 197,,,
CHLORMEZANONE,CHLORMEZANONE,,,
CHLOROPROCAINE HYDROCHLORIDE,CHLOROPROCAINE HYDROCHLORIDE,,,
CHLOROQUINE HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE,,,
CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,,,
CHLOROTHIAZIDE,CHLOROTHIAZIDE,,,
CHLOROTHIAZIDE SODIUM,CHLOROTHIAZIDE SODIUM,,,
CHLOROXINE,CHLOROXINE,,,
CHLORPHENESIN CARBAMATE,CHLORPHENESIN CARBAMATE,,,
CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,,,
CHLORPHENIRAMINE POLISTIREX,CHLORPHENIRAMINE POLISTIREX,,,
CHLORPROMAZINE,CHLORPROMAZINE,,,
CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,,,
CHLORPROPAMIDE,CHLORPROPAMIDE,,,
CHLORPROTHIXENE,CHLORPROTHIXENE,,,
CHLORTETRACYCLINE HYDROCHLORIDE,CHLORTETRACYCLINE HYDROCHLORIDE,,,
CHLORTHALIDONE,CHLORTHALIDONE,,,
CHLORZOXAZONE,CHLORZOXAZONE,,,
CHOLECALCIFEROL,CHOLECALCIFEROL,,,
CHOLESTYRAMINE,CHOLESTYRAMINE,,,
CHOLIC ACID,CHOLIC ACID,,,
CHOLINE C-11,CHOLINE C 11,,,
CHOLINE FENOFIBRATE,CHOLINE FENOFIBRATE,,,
CHORIOGONADOTROPIN ALFA,CHORIOGONADOTROPIN ALFA,,,
CHROMIC CHLORIDE,CHROMIC CHLORIDE,,,
CHROMIC PHOSPHATE P-32,CHROMIC PHOSPHATE P 32,,,
CHYMOPAPAIN,CHYMOPAPAIN,,,
CICLESONIDE,CICLESONIDE,,,
CICLOPIROX,CICLOPIROX,,,
CIDOFOVIR,CIDOFOVIR,,,
CILASTATIN SODIUM,CILASTATIN SODIUM,,,
CILOSTAZOL,CILOSTAZOL,,,
CIMETIDINE,CIMETIDINE,,,
CIMETIDINE HYDROCHLORIDE,CIMETIDINE HYDROCHLORIDE,,,
CINACALCET HYDROCHLORIDE,CINACALCET HYDROCHLORIDE,,,
CINOXACIN,CINOXACIN,,,
CIPAGLUCOSIDASE ALFA-ATGA,CIPAGLUCOSIDASE ALFA ATGA,,,
CIPROFLOXACIN,CIPROFLOXACIN,,,
CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE,,,
CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,,,
CISATRACURIUM BESYLATE,CISATRACURIUM BESYLATE,,,
CISPLATIN,CISPLATIN,,,
CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,,,
CITRIC ACID,CITRIC ACID,,,
CLADRIBINE,CLADRIBINE,,,
CLARITHROMYCIN,CLARITHROMYCIN,,,
CLASCOTERONE,CLASCOTERONE,,,
CLAVULANATE POTASSIUM,CLAVULANATE POTASSIUM,,,
CLEMASTINE FUMARATE,CLEMASTINE FUMARATE,,,
CLESROVIMAB-CFOR,CLESROVIMAB CFOR,,,
CLEVIDIPINE,CLEVIDIPINE,,,
CLIDINIUM BROMIDE,CLIDINIUM BROMIDE,,,
CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,,,
CLINDAMYCIN PALMITATE HYDROCHLORIDE,CLINDAMYCIN PALMITATE HYDROCHLORIDE,,,
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,,,
CLOBAZAM,CLOBAZAM,,,
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,,,
CLOCORTOLONE PIVALATE,CLOCORTOLONE PIVALATE,,,
CLOFARABINE,CLOFARABINE,,,
CLOFAZIMINE,CLOFAZIMINE,,,
CLOFIBRATE,CLOFIBRATE,,,
CLOMIPHENE CITRATE,CLOMIPHENE CITRATE,,,
CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,,,
CLONAZEPAM,CLONAZEPAM,,,
CLONIDINE,CLONIDINE,,,
CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE,,,
CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,,,
CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM,,,
CLOTRIMAZOLE,CLOTRIMAZOLE,,,
CLOXACILLIN SODIUM,CLOXACILLIN SODIUM,,,
CLOZAPINE,CLOZAPINE,,,
COBICISTAT,COBICISTAT,,,
COBIMETINIB FUMARATE,COBIMETINIB FUMARATE,,,
COCAINE HYDROCHLORIDE,COCAINE HYDROCHLORIDE,,,
CODEINE PHOSPHATE,CODEINE PHOSPHATE,,,
CODEINE POLISTIREX,CODEINE POLISTIREX,,,
CODEINE SULFATE,CODEINE SULFATE,,,
COLCHICINE,COLCHICINE,,,
COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,,,
COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,,,
COLFOSCERIL PALMITATE,COLFOSCERIL PALMITATE,,,
COLISTIMETHATE SODIUM,COLISTIMETHATE SODIUM,,,
COLISTIN SULFATE,COLISTIN SULFATE,,,
COLLAGENASE,COLLAGENASE,,,
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,,,
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM AAES,,,
CONCIZUMAB,CONCIZUMAB,,,
CONCIZUMAB-MTCI,CONCIZUMAB MTCI,,,
CONIVAPTAN HYDROCHLORIDE,CONIVAPTAN HYDROCHLORIDE,,,
CONJUGATED ESTROGENS/MEDROXYPROGESTERONE ACETATE,CONJUGATED ESTROGENS MEDROXYPROGESTERONE ACETATE,,,
COPANLISIB DIHYDROCHLORIDE,COPANLISIB DIHYDROCHLORIDE,,,
COPPER,COPPER,,,
COPPER CU-64 DOTATATE,COPPER CU 64 DOTATATE,,,
COPPER HISTIDINATE,COPPER HISTIDINATE,,,
CORTICORELIN OVINE TRIFLUTATE,CORTICORELIN OVINE TRIFLUTATE,,,
CORTICOTROPIN,CORTICOTROPIN,,,
CORTICOTROPIN-ZINC HYDROXIDE,CORTICOTROPIN ZINC HYDROXIDE,,,
CORTISONE ACETATE,CORTISONE ACETATE,,,
COSIBELIMAB-IPDL,COSIBELIMAB IPDL,,,
COSYNTROPIN,COSYNTROPIN,,,
CRINECERFONT,CRINECERFONT,,,
CRISABOROLE,CRISABOROLE,,,
CRIZANLIZUMAB-TMCA,CRIZANLIZUMAB TMCA,,,
CRIZOTINIB,CRIZOTINIB,,,
CROFELEMER,CROFELEMER,,,
CROMOLYN SODIUM,CROMOLYN SODIUM,,,
CROTAMITON,CROTAMITON,,,
CROVALIMAB-AKKZ,CROVALIMAB AKKZ,,,
CUPRIC CHLORIDE,CUPRIC CHLORIDE,,,
CUPRIC SULFATE,CUPRIC SULFATE,,,
CYANOCOBALAMIN,CYANOCOBALAMIN,,,
CYANOCOBALAMIN CO-57,CYANOCOBALAMIN CO 57,,,
CYANOCOBALAMIN CO-58,CYANOCOBALAMIN CO 58,,,
CYCLACILLIN,CYCLACILLIN,,,
CYCLIZINE LACTATE,CYCLIZINE LACTATE,,,
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,,,
CYCLOPENTOLATE HYDROCHLORIDE,CYCLOPENTOLATE HYDROCHLORIDE,,,
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,,,
CYCLOSERINE,CYCLOSERINE,,,
CYCLOSPORINE,CYCLOSPORINE,,,
CYCLOTHIAZIDE,CYCLOTHIAZIDE,,,
CYCRIMINE HYDROCHLORIDE,CYCRIMINE HYDROCHLORIDE,,,
CYPROHEPTADINE HYDROCHLORIDE,CYPROHEPTADINE HYDROCHLORIDE,,,
CYSTEAMINE BITARTRATE,CYSTEAMINE BITARTRATE,,,
CYSTEAMINE HYDROCHLORIDE,CYSTEAMINE HYDROCHLORIDE,,,
CYSTEINE HYDROCHLORIDE,CYSTEINE HYDROCHLORIDE,,,
CYTARABINE,CYTARABINE,,,
Carbon Dioxide,CARBON DIOXIDE,,,
"Carbon Dioxide, USP",CARBON DIOXIDE USP,,,
DABIGATRAN ETEXILATE MESYLATE,DABIGATRAN ETEXILATE MESYLATE,,,
DABRAFENIB MESYLATE,DABRAFENIB MESYLATE,,,
DACARBAZINE,DACARBAZINE,,,
DACLATASVIR DIHYDROCHLORIDE,DACLATASVIR DIHYDROCHLORIDE,,,
DACLIZUMAB,DACLIZUMAB,,,
DACOMITINIB,DACOMITINIB,,,
DACTINOMYCIN,DACTINOMYCIN,,,
DALBAVANCIN HYDROCHLORIDE,DALBAVANCIN HYDROCHLORIDE,,,
DALFAMPRIDINE,DALFAMPRIDINE,,,
DALFOPRISTIN,DALFOPRISTIN,,,
DALTEPARIN SODIUM,DALTEPARIN SODIUM,,,
DANAPAROID SODIUM,DANAPAROID SODIUM,,,
DANAZOL,DANAZOL,,,
DANICOPAN,DANICOPAN,,,
DANTROLENE SODIUM,DANTROLENE SODIUM,,,
DAPAGLIFLOZIN,DAPAGLIFLOZIN,,,
DAPAGLIFLOZIN || METFORMIN,DAPAGLIFLOZIN METFORMIN,,,
"DAPAGLIFLOZIN, METFORMIN HYDROCHLORIDE",DAPAGLIFLOZIN METFORMIN HYDROCHLORIDE,,,
"DAPAGLIFLOZIN, SAXAGLIPTIN MONOHYDRATE",DAPAGLIFLOZIN SAXAGLIPTIN MONOHYDRATE,,,
DAPIPRAZOLE HYDROCHLORIDE,DAPIPRAZOLE HYDROCHLORIDE,,,
DAPRODUSTAT,DAPRODUSTAT,,,
DAPSONE,DAPSONE,,,
DAPTOMYCIN,DAPTOMYCIN,,,
DARATUMUMAB,DARATUMUMAB,,,
DARATUMUMAB AND HYALURONIDASE-FIHJ,DARATUMUMAB AND HYALURONIDASE FIHJ,,,
DARBEPOETIN ALFA,DARBEPOETIN ALFA,,,
DARIDOREXANT HYDROCHLORIDE,DARIDOREXANT HYDROCHLORIDE,,,
DARIFENACIN HYDROBROMIDE,DARIFENACIN HYDROBROMIDE,,,
DAROLUTAMIDE,DAROLUTAMIDE,,,
DARUNAVIR,DARUNAVIR,,,
DARUNAVIR AND COBICISTAT,DARUNAVIR AND COBICISTAT,,,
DARUNAVIR AND RITONAVIR,DARUNAVIR AND RITONAVIR,,,
DARUNAVIR ETHANOLATE,DARUNAVIR ETHANOLATE,,,
DASABUVIR SODIUM,DASABUVIR SODIUM,,,
DASATINIB,DASATINIB,,,
DASIGLUCAGON HYDROCHLORIDE,DASIGLUCAGON HYDROCHLORIDE,,,
DATOPOTAMAB DERUXTECAN-DLNK,DATOPOTAMAB DERUXTECAN DLNK,,,
DAUNORUBICIN,DAUNORUBICIN,,,
DAUNORUBICIN CITRATE,DAUNORUBICIN CITRATE,,,
DAUNORUBICIN HYDROCHLORIDE,DAUNORUBICIN HYDROCHLORIDE,,,
DAXIBOTULINUMTOXINA-LANM,DAXIBOTULINUMTOXINA LANM,,,
DECITABINE,DECITABINE,,,
DEFACTINIB HYDROCHLORIDE,DEFACTINIB HYDROCHLORIDE,,,
DEFERASIROX,DEFERASIROX,,,
DEFERIPRONE,DEFERIPRONE,,,
DEFEROXAMINE MESYLATE,DEFEROXAMINE MESYLATE,,,
DEFIBROTIDE SODIUM,DEFIBROTIDE SODIUM,,,
DEFLAZACORT,DEFLAZACORT,,,
DEGARELIX ACETATE,DEGARELIX ACETATE,,,
DEHYDRATED ALCOHOL,DEHYDRATED ALCOHOL,,,
DELAFLOXACIN MEGLUMINE,DELAFLOXACIN MEGLUMINE,,,
DELAVIRDINE MESYLATE,DELAVIRDINE MESYLATE,,,
DELGOCITINIB,DELGOCITINIB,,,
DEMECARIUM BROMIDE,DEMECARIUM BROMIDE,,,
DEMECLOCYCLINE HYDROCHLORIDE,DEMECLOCYCLINE HYDROCHLORIDE,,,
DENILEUKIN DIFTITOX,DENILEUKIN DIFTITOX,,,
DENILEUKIN DIFTITOX-CXDL,DENILEUKIN DIFTITOX CXDL,,,
DENOSUMAB,DENOSUMAB,,,
DENOSUMAB-BBDZ,DENOSUMAB BBDZ,,,
DENOSUMAB-BMWO,DENOSUMAB BMWO,,,
DENOSUMAB-BNHT,DENOSUMAB BNHT,,,
DENOSUMAB-DSSB,DENOSUMAB DSSB,,,
DENOSUMAB-KYQQ,DENOSUMAB KYQQ,,,
DENOSUMAB-MOBZ,DENOSUMAB MOBZ,,,
DENOSUMAB-NXXP,DENOSUMAB NXXP,,,
DENOSUMAB-QBDE,DENOSUMAB QBDE,,,
DEOXYCHOLIC ACID,DEOXYCHOLIC ACID,,,
DEPEMOKIMAB-ULAA,DEPEMOKIMAB ULAA,,,
DESERPIDINE,DESERPIDINE,,,
DESFLURANE,DESFLURANE,,,
DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,,,
DESIRUDIN RECOMBINANT,DESIRUDIN RECOMBINANT,,,
DESLORATADINE,DESLORATADINE,,,
DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,,,
DESOGESTREL,DESOGESTREL,,,
DESONIDE,DESONIDE,,,
DESOXIMETASONE,DESOXIMETASONE,,,
DESOXYCORTICOSTERONE ACETATE,DESOXYCORTICOSTERONE ACETATE,,,
DESOXYRIBONUCLEASE,DESOXYRIBONUCLEASE,,,
DESVENLAFAXINE,DESVENLAFAXINE,,,
DESVENLAFAXINE FUMARATE,DESVENLAFAXINE FUMARATE,,,
DESVENLAFAXINE SUCCINATE,DESVENLAFAXINE SUCCINATE,,,
DEUCRAVACITINIB,DEUCRAVACITINIB,,,
DEURUXOLITINIB PHOSPHATE,DEURUXOLITINIB PHOSPHATE,,,
DEUTETRABENAZINE,DEUTETRABENAZINE,,,
DEUTIVACAFTOR,DEUTIVACAFTOR,,,
DEXAMETHASONE,DEXAMETHASONE,,,
DEXAMETHASONE ACETATE,DEXAMETHASONE ACETATE,,,
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,,,
DEXBROMPHENIRAMINE MALEATE,DEXBROMPHENIRAMINE MALEATE,,,
DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE MALEATE,,,
DEXLANSOPRAZOLE,DEXLANSOPRAZOLE,,,
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,,,
DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE HYDROCHLORIDE,,,
DEXPANTHENOL,DEXPANTHENOL,,,
DEXRAZOXANE HYDROCHLORIDE,DEXRAZOXANE HYDROCHLORIDE,,,
DEXTROAMPHETAMINE,DEXTROAMPHETAMINE,,,
DEXTROAMPHETAMINE ADIPATE,DEXTROAMPHETAMINE ADIPATE,,,
DEXTROAMPHETAMINE RESIN COMPLEX,DEXTROAMPHETAMINE RESIN COMPLEX,,,
DEXTROAMPHETAMINE SACCHARATE,DEXTROAMPHETAMINE SACCHARATE,,,
DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,,,
DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,,,
DEXTROMETHORPHAN POLISTIREX,DEXTROMETHORPHAN POLISTIREX,,,
DEXTROSE,DEXTROSE,,,
DEXTROTHYROXINE SODIUM,DEXTROTHYROXINE SODIUM,,,
DIATRIZOATE MEGLUMINE,DIATRIZOATE MEGLUMINE,,,
DIATRIZOATE SODIUM,DIATRIZOATE SODIUM,,,
DIAZEPAM,DIAZEPAM,,,
DIAZOXIDE,DIAZOXIDE,,,
DIAZOXIDE CHOLINE,DIAZOXIDE CHOLINE,,,
DICHLORPHENAMIDE,DICHLORPHENAMIDE,,,
DICLOFENAC,DICLOFENAC,,,
DICLOFENAC EPOLAMINE,DICLOFENAC EPOLAMINE,,,
DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,,,
DICLOFENAC SODIUM,DICLOFENAC SODIUM,,,
DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,,,
DICUMAROL,DICUMAROL,,,
DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE HYDROCHLORIDE,,,
DIDANOSINE,DIDANOSINE,,,
DIENESTROL,DIENESTROL,,,
DIENOGEST,DIENOGEST,,,
DIETHYLCARBAMAZINE CITRATE,DIETHYLCARBAMAZINE CITRATE,,,
DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,,,
DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,,,
DIFAMILAST,DIFAMILAST,,,
DIFELIKEFALIN ACETATE,DIFELIKEFALIN ACETATE,,,
DIFENOXIN HYDROCHLORIDE,DIFENOXIN HYDROCHLORIDE,,,
DIFLORASONE DIACETATE,DIFLORASONE DIACETATE,,,
DIFLUNISAL,DIFLUNISAL,,,
DIFLUPREDNATE,DIFLUPREDNATE,,,
DIGITOXIN,DIGITOXIN,,,
DIGOXIN,DIGOXIN,,,
DIHYDROCODEINE BITARTRATE,DIHYDROCODEINE BITARTRATE,,,
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,,,
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,,,
DILTIAZEM MALATE,DILTIAZEM MALATE,,,
DIMENHYDRINATE,DIMENHYDRINATE,,,
DIMERCAPROL,DIMERCAPROL,,,
DIMETHYL FUMARATE,DIMETHYL FUMARATE,,,
DIMETHYL SULFOXIDE,DIMETHYL SULFOXIDE,,,
DIMYRISTOYL LECITHIN,DIMYRISTOYL LECITHIN,,,
DINOPROSTONE,DINOPROSTONE,,,
DINUTUXIMAB,DINUTUXIMAB,,,
DIPHENHYDRAMINE CITRATE,DIPHENHYDRAMINE CITRATE,,,
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,,,
DIPHENIDOL HYDROCHLORIDE,DIPHENIDOL HYDROCHLORIDE,,,
DIPHENOXYLATE HYDROCHLORIDE,DIPHENOXYLATE HYDROCHLORIDE,,,
DIPIVEFRIN HYDROCHLORIDE,DIPIVEFRIN HYDROCHLORIDE,,,
DIPYRIDAMOLE,DIPYRIDAMOLE,,,
DIRITHROMYCIN,DIRITHROMYCIN,,,
DIROXIMEL FUMARATE,DIROXIMEL FUMARATE,,,
DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,,,
DISULFIRAM,DISULFIRAM,,,
DIVALPROEX SODIUM,DIVALPROEX SODIUM,,,
DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE,,,
DOCETAXEL,DOCETAXEL,,,
DOCOSANOL,DOCOSANOL,,,
DOFETILIDE,DOFETILIDE,,,
DOLASETRON MESYLATE,DOLASETRON MESYLATE,,,
DOLUTEGRAVIR,DOLUTEGRAVIR,,,
DOLUTEGRAVIR AND LAMIVUDINE,DOLUTEGRAVIR AND LAMIVUDINE,,,
DOLUTEGRAVIR LAMIVUDINE TENOFOVIR ALAFENAMIDE,DOLUTEGRAVIR LAMIVUDINE TENOFOVIR ALAFENAMIDE,,,
DOLUTEGRAVIR SODIUM,DOLUTEGRAVIR SODIUM,,,
"DOLUTEGRAVIR, EMTRICITABINE and TENOFOVIR ALAFENAMIDE",DOLUTEGRAVIR EMTRICITABINE AND TENOFOVIR ALAFENAMIDE,,,
DONANEMAB-AZBT,DONANEMAB AZBT,,,
DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,,,
DONIDALORSEN SODIUM,DONIDALORSEN SODIUM,,,
DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,,,
DORAVIRINE,DORAVIRINE,,,
DORDAVIPRONE HYDROCHLORIDE,DORDAVIPRONE HYDROCHLORIDE,,,
DORIPENEM,DORIPENEM,,,
DORNASE ALFA,DORNASE ALFA,,,
DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,,,
DOSTARLIMAB-GXLY,DOSTARLIMAB GXLY,,,
DOXACURIUM CHLORIDE,DOXACURIUM CHLORIDE,,,
DOXAPRAM HYDROCHLORIDE,DOXAPRAM HYDROCHLORIDE,,,
DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,,,
DOXECITINE,DOXECITINE,,,
DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,,,
DOXERCALCIFEROL,DOXERCALCIFEROL,,,
DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,,,
DOXRIBTIMINE,DOXRIBTIMINE,,,
DOXYCYCLINE,DOXYCYCLINE,,,
DOXYCYCLINE CALCIUM,DOXYCYCLINE CALCIUM,,,
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,,,
DOXYLAMINE SUCCINATE,DOXYLAMINE SUCCINATE,,,
DRONABINOL,DRONABINOL,,,
DRONEDARONE,DRONEDARONE,,,
DRONEDARONE HYDROCHLORIDE,DRONEDARONE HYDROCHLORIDE,,,
DROPERIDOL,DROPERIDOL,,,
DROSPIRENONE,DROSPIRENONE,,,
DROXIDOPA,DROXIDOPA,,,
DULAGLUTIDE,DULAGLUTIDE,,,
DULOXETINE,DULOXETINE,,,
DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,,,
DUPILUMAB,DUPILUMAB,,,
DURLOBACTAM SODIUM,DURLOBACTAM SODIUM,,,
DURVALUMAB,DURVALUMAB,,,
DUTASTERIDE,DUTASTERIDE,,,
DUVELISIB,DUVELISIB,,,
DYCLONINE HYDROCHLORIDE,DYCLONINE HYDROCHLORIDE,,,
DYPHYLLINE,DYPHYLLINE,,,
ECALLANTIDE,ECALLANTIDE,,,
ECAMSULE,ECAMSULE,,,
ECHOTHIOPHATE IODIDE,ECHOTHIOPHATE IODIDE,,,
ECONAZOLE NITRATE,ECONAZOLE NITRATE,,,
ECULIZUMAB,ECULIZUMAB,,,
ECULIZUMAB-AAGH,ECULIZUMAB AAGH,,,
ECULIZUMAB-AEEB,ECULIZUMAB AEEB,,,
EDARAVONE,EDARAVONE,,,
EDETATE CALCIUM DISODIUM,EDETATE CALCIUM DISODIUM,,,
EDOXABAN,EDOXABAN,,,
EDOXABAN TOSYLATE,EDOXABAN TOSYLATE,,,
EDROPHONIUM CHLORIDE,EDROPHONIUM CHLORIDE,,,
EFAVIRENZ,EFAVIRENZ,,,
"EFAVIRENZ, EMTRICITABINE AND TENOFOVIR ALAFENAMIDE",EFAVIRENZ EMTRICITABINE AND TENOFOVIR ALAFENAMIDE,,,
EFBEMALENOGRASTIM ALFA-VUXW,EFBEMALENOGRASTIM ALFA VUXW,,,
EFGARTIGIMOD ALFA,EFGARTIGIMOD ALFA,,,
EFGARTIGIMOD ALFA AND HYALURONIDASE-QVFC,EFGARTIGIMOD ALFA AND HYALURONIDASE QVFC,,,
EFINACONAZOLE,EFINACONAZOLE,,,
EFLAPEGRASTIM-XNST,EFLAPEGRASTIM XNST,,,
EFLORNITHINE HYDROCHLORIDE,EFLORNITHINE HYDROCHLORIDE,,,
ELACESTRANT HYDROCHLORIDE,ELACESTRANT HYDROCHLORIDE,,,
ELAFIBRANOR,ELAFIBRANOR,,,
ELAGOLIX,ELAGOLIX,,,
ELAGOLIX SODIUM,ELAGOLIX SODIUM,,,
"ELAGOLIX SODIUM,ESTRADIOL,NORETHINDRONE ACETATE",ELAGOLIX SODIUM ESTRADIOL NORETHINDRONE ACETATE,,,
"ELAGOLIX, ESTRADIOL AND NORETHINDRONE ACETATE AND ELAGOLIX",ELAGOLIX ESTRADIOL AND NORETHINDRONE ACETATE AND ELAGOLIX,,,
ELAMIPRETIDE HYDROCHLORIDE,ELAMIPRETIDE HYDROCHLORIDE,,,
ELAPEGADEMASE-LVLR,ELAPEGADEMASE LVLR,,,
ELBASVIR,ELBASVIR,,,
ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE,,,
"ELEXACAFTOR, IVACAFTOR, TEZACAFTOR",ELEXACAFTOR IVACAFTOR TEZACAFTOR,,,
ELIGLUSTAT TARTRATE,ELIGLUSTAT TARTRATE,,,
ELINZANETANT,ELINZANETANT,,,
ELOSULFASE ALFA,ELOSULFASE ALFA,,,
ELOTUZUMAB,ELOTUZUMAB,,,
ELRANATAMAB,ELRANATAMAB,,,
ELTROMBOPAG,ELTROMBOPAG,,,
ELTROMBOPAG CHOLINE,ELTROMBOPAG CHOLINE,,,
ELTROMBOPAG OLAMINE,ELTROMBOPAG OLAMINE,,,
ELUXADOLINE,ELUXADOLINE,,,
ELVITEGRAVIR,ELVITEGRAVIR,,,
"ELVITEGRAVIR, COBICISTAT, EMTRICITABINE AND TENOFOVIR ALAFENAMIDE",ELVITEGRAVIR COBICISTAT EMTRICITABINE AND TENOFOVIR ALAFENAMIDE,,,
EMAPALUMAB-LZSG,EMAPALUMAB LZSG,,,
EMEDASTINE DIFUMARATE,EMEDASTINE DIFUMARATE,,,
EMICIZUMAB,EMICIZUMAB,,,
