ApplNo,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,approval_year,ReviewPriority_raw,ReviewPriority,ApplType_raw,ApplType,SponsorName,DrugName,ActiveIngredient,n_products,ProductNo_list,SubmissionClassCodeID,SubmissionClassCode,SubmissionClassCodeDescription
061897,ORIG,1,AP,1975-01-06,1975,,UNKNOWN,ANDA,ANDA,LILLY,ILOSONE,ERYTHROMYCIN ESTOLATE,2.0,001; 002,,,
061898,ORIG,1,AP,1974-12-16,1974,,UNKNOWN,ANDA,ANDA,APOTHECON,POLYCILLIN-PRB,AMPICILLIN/AMPICILLIN TRIHYDRATE; PROBENECID,1.0,001,,,
061901,ORIG,1,AP,1975-03-06,1975,,UNKNOWN,ANDA,ANDA,APOTHECON,KANTREX,KANAMYCIN SULFATE,3.0,001; 002; 003,,,
061903,ORIG,1,AP,1975-01-06,1975,,UNKNOWN,ANDA,ANDA,AMBIX,,,,,,,
061904,ORIG,1,AP,1975-03-03,1975,,UNKNOWN,ANDA,ANDA,CARNEGIE,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,1.0,001,,,
061905,ORIG,1,AP,1982-08-12,1982,,UNKNOWN,ANDA,ANDA,CARNEGIE,E.E.S. 400,ERYTHROMYCIN ETHYLSUCCINATE,2.0,001; 002,,,
061910,ORIG,1,AP,1975-02-27,1975,,UNKNOWN,ANDA,ANDA,DISTA,ILOTYCIN,ERYTHROMYCIN,1.0,001,,,
061922,ORIG,1,AP,1976-12-22,1976,,UNKNOWN,,UNKNOWN,,,,,,,,
061926,ORIG,1,AP,1976-02-09,1976,,UNKNOWN,ANDA,ANDA,TEVA,AMOXICILLIN,AMOXICILLIN,2.0,001; 003,,,
061931,ORIG,1,AP,1982-12-01,1982,,UNKNOWN,ANDA,ANDA,TEVA,AMOXICILLIN; AMOXICILLIN PEDIATRIC,AMOXICILLIN,3.0,001; 002; 003,,,
061933,ORIG,1,AP,1975-07-29,1975,,UNKNOWN,,UNKNOWN,,,,,,,,
061943,ORIG,1,AP,1976-07-27,1976,,UNKNOWN,,UNKNOWN,,,,,,,,
