model,coef_main,se_main,irr_or_exp,z_stat,p_value_approx
P1_Poisson_levelshift,-.027625218,.16393717,.97275287,-.16851102,.86618125
P2_Poisson_slopechange,-.12143783,.16215619,.8856461,-.74889421,.45392096
P3_Poisson_NDA,.14852606,.31074691,1.160123,.47796473,.63267529
D1_DD_levels,-267.23453,39.791927,,-6.7157974,1.8704149e-11
D2_DD_asinh,-.14154014,.16066515,,-.8809635,.37833756
D3_DD_Poisson,-.38349754,.095928423,.68147373,-3.9977467,.000063948326
