post_gdufa,n_anda_total,n_anda_cs,n_sched_ii,n_sched_iii,n_sched_iv,n_sched_v,anda_cs_share,cs_share_from_totals
0,8359,858,399,28,434,0,.10780709,.10264385
1,7830,556,286,60,112,95,.070656762,.071008943
