appltype_str,npdufa_I,npdufa_II,npdufa_III,npdufa_IV,npdufa_V,npdufa_VI,npdufa_VII,npost_hatchwaxman_pre_pdufa,npre_hatchwaxman
ANDA,964,1187,1775,2300,2830,3715,2113,2133,2005
BLA,24,34,33,37,73,112,111,16,20
NDA,467,422,429,394,551,542,308,676,1488
UNKNOWN,70,19,44,30,10,11,2,206,757
